Bands,Rows,TP,FP,FN,Precision,Recall,F1
175,65,86,0,106,1.000000,0.447917,0.618705
185,20,192,228,0,0.457143,1.000000,0.627451
180,45,84,0,108,1.000000,0.437500,0.608696
180,50,152,2,40,0.987013,0.791667,0.878613
185,25,192,119,0,0.617363,1.000000,0.763419
180,55,134,0,58,1.000000,0.697917,0.822086
185,30,192,65,0,0.747082,1.000000,0.855234
185,35,192,29,0,0.868778,1.000000,0.929782
180,60,104,0,88,1.000000,0.541667,0.702703
185,40,192,16,0,0.923077,1.000000,0.960000
180,65,88,0,104,1.000000,0.458333,0.628571
190,20,192,228,0,0.457143,1.000000,0.627451
185,45,182,8,10,0.957895,0.947917,0.952880
180,70,84,0,108,1.000000,0.437500,0.608696
190,25,192,119,0,0.617363,1.000000,0.763419
185,50,158,2,34,0.987500,0.822917,0.897727
185,55,134,0,58,1.000000,0.697917,0.822086
190,30,192,65,0,0.747082,1.000000,0.855234
190,35,192,29,0,0.868778,1.000000,0.929782
185,60,108,0,84,1.000000,0.562500,0.720000
190,40,192,16,0,0.923077,1.000000,0.960000
185,65,88,0,104,1.000000,0.458333,0.628571
195,20,192,230,0,0.454976,1.000000,0.625407
190,45,182,8,10,0.957895,0.947917,0.952880
185,70,86,0,106,1.000000,0.447917,0.618705
190,50,162,2,30,0.987805,0.843750,0.910112
195,25,192,119,0,0.617363,1.000000,0.763419
195,30,192,65,0,0.747082,1.000000,0.855234
190,55,136,0,56,1.000000,0.708333,0.829268
195,35,192,31,0,0.860987,1.000000,0.925301
190,60,112,0,80,1.000000,0.583333,0.736842
195,40,192,16,0,0.923077,1.000000,0.960000
190,65,90,0,102,1.000000,0.468750,0.638298
200,20,192,231,0,0.453901,1.000000,0.624390
195,45,182,8,10,0.957895,0.947917,0.952880
190,70,86,0,106,1.000000,0.447917,0.618705
195,50,166,2,26,0.988095,0.864583,0.922222
200,25,192,121,0,0.613419,1.000000,0.760396
195,55,136,0,56,1.000000,0.708333,0.829268
200,30,192,67,0,0.741313,1.000000,0.851441
200,35,192,33,0,0.853333,1.000000,0.920863
195,60,116,0,76,1.000000,0.604167,0.753247
200,40,192,16,0,0.923077,1.000000,0.960000
195,65,90,0,102,1.000000,0.468750,0.638298
205,20,192,238,0,0.446512,1.000000,0.617363
200,45,182,8,10,0.957895,0.947917,0.952880
195,70,88,0,104,1.000000,0.458333,0.628571
200,50,168,2,24,0.988235,0.875000,0.928177
205,25,192,121,0,0.613419,1.000000,0.760396
200,55,136,0,56,1.000000,0.708333,0.829268
205,30,192,67,0,0.741313,1.000000,0.851441
200,60,116,0,76,1.000000,0.604167,0.753247
205,35,192,35,0,0.845815,1.000000,0.916468
200,65,90,0,102,1.000000,0.468750,0.638298
205,40,192,16,0,0.923077,1.000000,0.960000
210,20,192,238,0,0.446512,1.000000,0.617363
205,45,184,8,8,0.958333,0.958333,0.958333
200,70,88,0,104,1.000000,0.458333,0.628571
205,50,168,2,24,0.988235,0.875000,0.928177
210,25,192,125,0,0.605678,1.000000,0.754420
210,30,192,67,0,0.741313,1.000000,0.851441
205,55,138,0,54,1.000000,0.718750,0.836364
210,35,192,35,0,0.845815,1.000000,0.916468
205,60,120,0,72,1.000000,0.625000,0.769231
210,40,192,16,0,0.923077,1.000000,0.960000
205,65,92,0,100,1.000000,0.479167,0.647887
215,20,192,241,0,0.443418,1.000000,0.614400
210,45,186,8,6,0.958763,0.968750,0.963731
205,70,88,0,104,1.000000,0.458333,0.628571
210,50,168,2,24,0.988235,0.875000,0.928177
215,25,192,127,0,0.601881,1.000000,0.751468
215,30,192,67,0,0.741313,1.000000,0.851441
210,55,138,0,54,1.000000,0.718750,0.836364
215,35,192,35,0,0.845815,1.000000,0.916468
210,60,120,0,72,1.000000,0.625000,0.769231
215,40,192,18,0,0.914286,1.000000,0.955224
210,65,96,0,96,1.000000,0.500000,0.666667
220,20,192,241,0,0.443418,1.000000,0.614400
215,45,188,8,4,0.959184,0.979167,0.969072
210,70,88,0,104,1.000000,0.458333,0.628571
215,50,168,2,24,0.988235,0.875000,0.928177
220,25,192,128,0,0.600000,1.000000,0.750000
220,30,192,69,0,0.735632,1.000000,0.847682
215,55,138,0,54,1.000000,0.718750,0.836364
220,35,192,37,0,0.838428,1.000000,0.912114
215,60,122,0,70,1.000000,0.635417,0.777070
215,65,96,0,96,1.000000,0.500000,0.666667
220,40,192,18,0,0.914286,1.000000,0.955224
225,20,192,244,0,0.440367,1.000000,0.611465
220,45,188,8,4,0.959184,0.979167,0.969072
215,70,88,0,104,1.000000,0.458333,0.628571
225,25,192,134,0,0.588957,1.000000,0.741313
220,50,170,2,22,0.988372,0.885417,0.934066
225,30,192,71,0,0.730038,1.000000,0.843956
220,55,138,0,54,1.000000,0.718750,0.836364
220,60,122,0,70,1.000000,0.635417,0.777070
225,35,192,37,0,0.838428,1.000000,0.912114
220,65,96,0,96,1.000000,0.500000,0.666667
225,40,192,18,0,0.914286,1.000000,0.955224
230,20,192,245,0,0.439359,1.000000,0.610493
225,45,188,8,4,0.959184,0.979167,0.969072
220,70,88,0,104,1.000000,0.458333,0.628571
225,50,170,2,22,0.988372,0.885417,0.934066
230,25,192,138,0,0.581818,1.000000,0.735632
225,55,138,0,54,1.000000,0.718750,0.836364
230,30,192,71,0,0.730038,1.000000,0.843956
225,60,124,0,68,1.000000,0.645833,0.784810
230,40,192,18,0,0.914286,1.000000,0.955224
225,65,98,0,94,1.000000,0.510417,0.675862
235,20,192,248,0,0.436364,1.000000,0.607595
230,45,188,8,4,0.959184,0.979167,0.969072
230,50,172,2,20,0.988506,0.895833,0.939891
225,70,88,0,104,1.000000,0.458333,0.628571
230,55,138,0,54,1.000000,0.718750,0.836364
235,25,192,139,0,0.580060,1.000000,0.734226
256,42,190,8,2,0.959596,0.989583,0.974359
235,30,192,71,0,0.730038,1.000000,0.843956
230,60,126,0,66,1.000000,0.656250,0.792453
256,45,188,8,4,0.959184,0.979167,0.969072
256,48,182,2,10,0.989130,0.947917,0.968085
235,35,192,39,0,0.831169,1.000000,0.907801
230,65,98,0,94,1.000000,0.510417,0.675862
256,51,164,2,28,0.987952,0.854167,0.916201
235,40,192,18,0,0.914286,1.000000,0.955224
256,54,152,6,40,0.962025,0.791667,0.868571
235,45,188,8,4,0.959184,0.979167,0.969072
240,20,192,249,0,0.435374,1.000000,0.606635
230,70,88,0,104,1.000000,0.458333,0.628571
256,57,156,2,36,0.987342,0.812500,0.891429
235,50,172,2,20,0.988506,0.895833,0.939891
256,60,130,0,62,1.000000,0.677083,0.807453
240,25,192,141,0,0.576577,1.000000,0.731429
235,55,138,0,54,1.000000,0.718750,0.836364
240,30,192,76,0,0.716418,1.000000,0.834783
235,60,126,0,66,1.000000,0.656250,0.792453
240,35,192,39,0,0.831169,1.000000,0.907801
240,40,192,18,0,0.914286,1.000000,0.955224
235,65,100,0,92,1.000000,0.520833,0.684932
240,45,188,8,4,0.959184,0.979167,0.969072
255,42,190,8,2,0.959596,0.989583,0.974359
240,50,172,2,20,0.988506,0.895833,0.939891
235,70,88,0,104,1.000000,0.458333,0.628571
255,45,188,8,4,0.959184,0.979167,0.969072
245,20,192,249,0,0.435374,1.000000,0.606635
240,55,138,0,54,1.000000,0.718750,0.836364
245,25,192,143,0,0.573134,1.000000,0.728653
255,48,180,2,12,0.989011,0.937500,0.962567
245,30,192,76,0,0.716418,1.000000,0.834783
245,35,192,39,0,0.831169,1.000000,0.907801
256,63,106,0,86,1.000000,0.552083,0.711409
255,51,164,2,28,0.987952,0.854167,0.916201
245,40,192,18,0,0.914286,1.000000,0.955224
256,66,96,0,96,1.000000,0.500000,0.666667
240,60,126,0,66,1.000000,0.656250,0.792453
250,20,192,249,0,0.435374,1.000000,0.606635
245,45,188,8,4,0.959184,0.979167,0.969072
256,69,82,0,110,1.000000,0.427083,0.598540
245,50,172,2,20,0.988506,0.895833,0.939891
250,25,192,145,0,0.569733,1.000000,0.725898
240,65,100,0,92,1.000000,0.520833,0.684932
245,55,142,0,50,1.000000,0.739583,0.850299
250,30,192,78,0,0.711111,1.000000,0.831169
240,70,90,0,102,1.000000,0.468750,0.638298
255,54,152,6,40,0.962025,0.791667,0.868571
255,57,156,2,36,0.987342,0.812500,0.891429
250,40,192,18,0,0.914286,1.000000,0.955224
250,45,188,8,4,0.959184,0.979167,0.969072
245,70,90,0,102,1.000000,0.468750,0.638298
254,42,190,8,2,0.959596,0.989583,0.974359
255,60,128,0,64,1.000000,0.666667,0.800000
250,60,128,0,64,1.000000,0.666667,0.800000
254,45,188,8,4,0.959184,0.979167,0.969072
250,65,100,0,92,1.000000,0.520833,0.684932
255,63,106,0,86,1.000000,0.552083,0.711409
255,66,96,0,96,1.000000,0.500000,0.666667
254,48,82,0,110,1.000000,0.427083,0.598540
254,51,164,2,28,0.987952,0.854167,0.916201
254,54,152,6,40,0.962025,0.791667,0.868571
254,57,156,2,36,0.987342,0.812500,0.891429
254,60,128,0,64,1.000000,0.666667,0.800000
254,63,106,0,86,1.000000,0.552083,0.711409
253,42,190,8,2,0.959596,0.989583,0.974359
254,66,96,0,96,1.000000,0.500000,0.666667
254,69,82,0,110,1.000000,0.427083,0.598540
253,45,188,8,4,0.959184,0.979167,0.969072
253,48,180,2,12,0.989011,0.937500,0.962567
253,51,164,2,28,0.987952,0.854167,0.916201
35,42,130,0,62,1.000000,0.677083,0.807453
253,54,152,6,40,0.962025,0.791667,0.868571
35,48,94,0,98,1.000000,0.489583,0.657343
253,57,154,2,38,0.987179,0.802083,0.885057
35,51,92,2,100,0.978723,0.479167,0.643357
35,54,78,4,114,0.951220,0.406250,0.569343
253,60,128,0,64,1.000000,0.666667,0.800000
35,57,84,2,108,0.976744,0.437500,0.604317
35,63,76,0,116,1.000000,0.395833,0.567164
35,66,68,0,124,1.000000,0.354167,0.523077
253,63,106,0,86,1.000000,0.552083,0.711409
